Article_Number,Title,First_Author,Year,Journal,Volume,Issue,Pages
124,Farm ponds make a contribution to the biodiversity of aquatic insects in a French agricultural landscape,A. Ruggiero,2008,Comptes Rendus Biologies,331,,
125,Farming system and soil management affect butterfly diversity in sloping olive groves,J. Sanchez-Fernandez,2020,Insect Conservation and Diversity,13,,
126,Field Borders Provide Winter Refuge for Beneficial Predators and Parasitoids: A Case Study on Organic Farms,C. Clem,2021,Journal of Insect Science,21,,
127,Field Margin Vegetation in Tropical African Bean Systems Harbours Diverse Natural Enemies for Biological Pest Control in Adjacent Crops,P. Mkenda,2019,Sustanibility,11,,
128,Flower Margins: Attractiveness over Time for Different Pollinator Groups,C. Brittain,2022,Land,11,,
129,Flower Strips in Wheat Intercropping System: Effect on Pollinator Abundance and Diversity in Belgium,C. Amy,2018,Insects,9,,
130,Flower visitors in agricultural farms of Nilgiri Biosphere Reserve: Do forests act as pollinators reservoirs?,P. Viswanathan,2020,Journal of Apicultural Research,59,,
131,Flower‑strip agri‑environment schemes provide diverse and valuable summer fower resources for pollinating  insects,P. Ouvrard,2018,Biodiversity Conservation,27,,
132,Forest cover enhances natural enemy diversity and biological control services in Brazilian sun coffee plantations,H. Medeiros,2019,Agronomy for Sustainable Development,39,,
133,"Functional diversity and stability of litter-invertebrate communities following land-use change in Sumatra, Indonesia",S. Mumme,2015,Biological Conservation,191,,
134,Functional groups of wild bees respond differently to faba bean Vicia faba L. cultivation at landscape scale,N. Beyer,2020,Journal of Applied Ecology,57,,
135,Functional land cover scale for three insect pests with contrasting dispersal strategies in a fragmented coffee-based landscape in Central Kenya,G. Mosomtai,2021,"Agriculture, Ecosystems and Environment",319,,
136,Functional role of different habitat types at local and landscape scales for aphids and their natural enemies,M. Jankovic,2017,Journal of Pest Science,90,,
137,Gardens benefit bees and enhance pollination in intensively managed farmland,U. Samnegård,2011,Biological Conservation,144,,
138,Grape moth density in Bordeaux vineyards depends on local habitat management despite effects of landscape heterogeneity on their biological control,A. Rusch,2017,Journal of Applied Ecology,54,,
139,Grass management intensity affects butterfly and orthopteran diversity on rice field banks,D. Giuliano,2018,"Agriculture, Ecosystems and Environment",267,,
140,Grassland plantings and landscape natural areas both influence insect natural enemies,I. Koh,2015,"Agriculture, Ecosystems and Environment",199,,
141,Grazing and tree ‘clearing’ alter grass-associated invertebrate assemblages in an Australian tropical grassy woodland,W. Houston,2018,The Rangeland Journal,40,,
142,"Ground beetles (Coleoptera, Carabidae) as indicators of change and pattern in the agroecosystem: Longer surveys improve understanding",M. Eyre,2016,Ecological Indicators,68,,
143,Ground cover management in a Mediterranean vineyard: Impact on insect abundance and diversity,M.  Sáenz-Romo,2019,"Agriculture, Ecosystems and Environment",283,,
144,Ground cover vegetation promotes biological control and yield in pear orchards,X. Ji,2022,Journal of Applied Entomolgy,146,,
145,Ground-foraging ant communities vary with oil palm age,W. Wang,2016,Basic and Applied Ecology,17,,
146,Habitat management of organic vineyard in Northern Italy: the role of cover plants management on arthropod functional biodiversity,G. Burgio,2016,Bulletin of Entomological Research,106,,
147,Habitat management on multiple spatial scales can enhance bee pollination and crop yield in tropical homegardens,I. Motze,2016,"Agriculture, Ecosystems and Environment",223,,
148,Habitat quality and connectivity in kettle holes enhance bee diversity in agricultural landscapes,S. Lozada-Gobilard,2021,"Agriculture, Ecosystems and Environment",319,,
149,Habitat restoration promotes pollinator persistence and colonization in intensively managed agriculture,L. M'Gonigle,2015,Ecological Applications,25,,
150,Hedgerows enhance beneficial insects on adjacent tomato fields in an intensive agricultural landscape,L. Morandin,2014,"Agriculture, Ecosystems and Environment",189,,
151,Hedgerows surrounding organic apple orchards in north-west Spain: potential to conserve beneficial insects,M. Minarro,2023,Agriculture and Forest Entomology,15,,
152,High Bee and Wasp Diversity in a Heterogeneous Tropical Farming System Compared to Protected Forest,C.  Schuepp,2012,PLoS ONE,7,,
153,High Redundancy as well as Complementary Prey Choice Characterize Generalist Predator Food Webs in Agroecosystem,E. Roubinet,2018,Scientific Reports,8,,
154,Higher bat and prey abundance at organic than conventional soybean fields,J. Put,2018,Biological Conservation,226,,
155,Hopper parasitoids do not significantly benefit from non-crop habitats in rice production landscapes,C. Sann,2018,"Agriculture, Ecosystems and Environment",254,,
156,How Can We Preserve and Restore Species Richness of Pollinating Insects on Agricultural Land?,M. Franzen,2008,Ecography,31,,
157,Impact of a long-term mating-disruption management in crops on non-target insects in the surrounding area,J. Itzhak Martinez,2012,Jounral of Insect Conservation,16,,
158,Impact of land use intensification and local features on plants and pollinators in Sub-Saharan smallholder farms,N. Tommasi,2021,"Agriculture, Ecosystems and Environment",319,,
159,Impact of local practices and landscape on the diversity and abundance of pollinators in an insect-dependent crop,H. Gasper,2022,"Agriculture, Ecosystems and Environment",326,,
160,Impact of vineyard ground cover management on the occurrence and activity of entomopathogenic nematodes and associated soil organisms,R. Blanco-Pérez,2020,"Agriculture, Ecosystems and Environment",301,,
161,Impacts of 2 species of predatory Reduviidae on bagworms in oil palm plantations,S. Jamian,2017,Insect Science,24,,
162,Impacts of eucalypt plantation management on soil faunal communities and nutrient bioavailability: trading function for dependence?,T. Aslam,2015,Biology and Fertility of Soils,51,,
163,Impacts of field margin orientation on populations of soildwelling invertebrates in relation to the direction and intensity of field traffic,L. Carlesso,2022,Soil Use and Management,38,,
164,Impacts of land use types on ant communities in a tropical forest margin (Oumé – Côte d’Ivoire),K. Yeo,2019,Advances in Food Science and Technology,7,,
165,Impacts of management at a local and landscape scale on pollinators in semi-natural grasslands,M. Larkin,2021,Journal of Applied Ecology,58,,
166,Improving the pollinator pantry: Restoration and management of open farmland ponds enhances the complexity of plant-pollinator networks,R. Walton,2021,"Agriculture, Ecosystems and Environment",320,,
167,Increased bumblebee abundance along the margins of a mass flowering crop: evidence for pollinator spill-over,M. Hanley,2011,Oikos,120,,
168,Increasing flower species richness in agricultural landscapes alters insect pollinator networks: Implications for bee health and competition,V. Doublet,2022,Ecology and Evolution,12,,
169,Indirect effects of grassland extensification schemes on pollinators in two contrasting European countries,F. Kohler,2007,Biological Conservation,135,,
170,Infuence of landscape and livestock management on dung beetle diversity in tropical cattle pastures,L. González‑Gómez,2023,Biodiversity and Conservation,32,,
171,Influence of landscape context on the abundance of native bee pollinators in tomato crops in Central Brazil,E. Franceschinelli,2017,Journal of Insect Conservation,21,,
172,Influences of the seminatural and natural matrix surrounding crop fields on aphid presence and aphid predator abundance within a complex landscape,H. Taki,2013,"Agriculture, Ecosystems and Environment",179,,
173,Insect as biological indicator from protected to the disturb landscape in central java Indonesia,K. Puji Wicaksono,2011,Agrivita,33,,
174,Insect community composition and functional roles along a tropical agricultural production gradient,A. Sanderson Bellamy,2018,Environmental Science and Pollution Research,25,,
175,Insect diversity associated with quinoa (Chenopodium quinoa Willd.) in three altitudinal production zones of Peru,L. Cruces,2020,International Journal of Tropical Insect Science,40,,
176,"Insect diversity in vineyards, almond orchards, olive orchards, alfalfa felds, and pastures in the San Joaquin Valley of California",M. Sisterson,2020,Journal of Insect Conservation,24,,
177,Insect–flower interactions: network structure in organic versus conventional vineyards,T. Kehinde,2014,Animal Conservation,17,,
178,Interactions between conservation agricultural practice and landscape composition promote weed seed predation by invertebrates,S. Petit,2017,"Agriculture, Ecosystems and Environment",240,,
179,"Intermediate disturbance promotes diversity and the conservation of dung beetles (Scarabaeoidea: Scarabaeidae and Aphodiidae) in the Eastern Cape, South Africa",C. Tocco,2020,Basic and Applied Ecology,49,,
180,Intermediate fragmentation surrounding vineyards favours the Coleoptera community within the crop,L. Taranto,2021,Agricultural and Forest Entomology,25,,
181,Intraguild predation in winter wheat: prey choice by a common epigeal carabid consuming spiders,J. Davey,2013,Journal of Applied Ecology,50,,
182,Invertebrate community richness in New Zealand kiwifruit orchards under organic or integrated pest management,J. Todd,2011,"Agriculture, Ecosystems and Environment",141,,
183,"Land use effect on butterfly alpha and beta diversity in the Eastern Himalaya, India",K. Sharma,2020,Ecological Indicators,110,,
184,"Land use system, invasive species and shrub diversity of the riparian ecological infrastructure determine the specific and functional richness of ant communities in Mediterranean river valleys",V. Zina,2022,Ecological Indicators,145,,
185,Effects of native biodiversity on grape loss of four castes: testing the biotic resistance hypothesis,M. Nereu,2018,Web Ecology,18,,
186,"Landscape crop diversity and semi-natural habitat affect crop pollinators, pollination benefit and yield",C. Raderschall,2021,"Agriculture, Ecosystems and Environment",306,,
187,Landscape diversity enhances parasitism of cotton bollworm (Helicoverpa armigera) eggs by Trichogramma chilonis in cotton,B. Liu,2016,Biological Control,93,,
188,Landscape diversity influences the arthropod species diversity in rice fields,M. Ali,2022,Frontiers in Environmental Science,10,,
189,Landscape effects on pollinator communities and pollination services in small-holder agroecosystems,Y. Zou,2017,"Agriculture, Ecosystems and Environment",246,,
190,Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities,G. Andersson,2013,Basic and Applied Ecology,14,,
191,Landscape simplification reduces classical biological control and crop yield,H. Grab,2018,Ecological Applications,28,,
192,Landscape structure alters the abundance and species composition of earlyseason aphid populations in wheat fields,L. Yang,2019,"Agriculture, Ecosystems and Environment",269,,
193,Landscape structure and habitat management differentially influence insect natural enemies in an agricultural landscape,J. Woltz,2012,"Agriculture, Ecosystems and Environment",152,,
194,Forest cover enhances natural enemy diversity and biological control services in Brazilian sun coffee plantations,H. Medeiros,2019,Agronomy for Sustainable Development,39,,
195,Landscape-level effects on pollination networks and fruit-set of crops in tropical small-holder agroecosystems,T. Sritongchuay,2022,"Agriculture, Ecosystems and Environment",339,,
196,"Landscapes with wild bee habitats enhance pollination, fruit set and yield of sweet cherry",A. Holzschuh,2012,Biological Conservation,153,,
197,"Landscapes, orchards, pesticides–Abundance of beetles (Coleoptera) in apple orchards along pesticide toxicity and landscape complexity gradients",V. Marko,2017,"Agriculture, Ecosystems and Environment",247,,
198,Landuse Change in Savannas Disproportionately Reduces Functional Diversity of Invertebrate Predators at the Highest Trophic Levels: Spiders as an Example,G. Joseph,2018,Ecosystems,21,,
199,Land‑use changes in a neotropical biodiversity hotspot and its efects on Euglossini bees,B. Leão‑Gomes,2023,Journal of Insect Conservation,27,,
200,"Land-use components, abundance of predatory arthropods, and vegetation height affect predation rates in grasslands",S. Meyer,2019,"Agriculture, Ecosystems and Environment",270-271,,
201,Licorice strips enhance predator-mediated biological control in China's cotton crop,Z. Xue,2022,Pest Management Science,79,,
202,Limited Effect of Management on Apple Pollination: A Case Study from an Oceanic Island,A. Pardo,2020,Insects,11,,
203,Linear habitats across a range of farming intensities contribute differently to dipteran abundance and diversity,K. Ahmed,2021,Insect Conservation and Diversity,14,,
204,Linking traits between plants and invertebrate herbivores to track functional effects of land-use changes,B. Pezzatti,2013,Journal of Vegetation Science,24,,
